2021-07-12 15:30:24.800 interchange:616 [DEBUG]  [MAIN] Current tasks: [4, 5]
2021-07-12 15:30:24.801 interchange:619 [DEBUG]  [MAIN] leaving results_incoming section
2021-07-12 15:30:24.802 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.908 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.909 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.910 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.911 interchange:577 [DEBUG]  [MAIN] entering results_incoming section
2021-07-12 15:30:24.913 interchange:582 [DEBUG]  [MAIN] Got 2 result items in batch
2021-07-12 15:30:24.914 interchange:616 [DEBUG]  [MAIN] Current tasks: []
2021-07-12 15:30:24.916 interchange:619 [DEBUG]  [MAIN] leaving results_incoming section
2021-07-12 15:30:24.917 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.924 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:6
2021-07-12 15:30:24.955 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.957 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.958 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
2021-07-12 15:30:24.959 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.960 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.962 interchange:562 [DEBUG]  [MAIN] Sent tasks: [6] to manager b'4b92697a4c51'
2021-07-12 15:30:24.964 interchange:564 [DEBUG]  [MAIN] Manager b'4b92697a4c51' has free_capacity 3
2021-07-12 15:30:24.966 interchange:572 [DEBUG]  [MAIN] leaving _ready_manager_queue section, with 2 managers still interesting
2021-07-12 15:30:24.967 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.971 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.972 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.973 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.974 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.975 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.976 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.977 interchange:459 [DEBUG]  BENC: starting poll
